Run,Evals,Average Composite Fitness,Best Composite Fitness,Average Absolute Fitness, Best Absolute Fitness
1,150,-0.325,1.225,0.086,2.960
1,200,0.841,2.245,0.950,2.960
1,250,1.586,2.434,1.607,2.960
1,300,1.934,2.434,1.986,2.960
1,350,2.153,2.434,2.062,2.960
1,400,2.187,2.469,2.207,2.970
1,450,2.285,2.469,2.301,2.970
1,500,2.330,2.539,2.308,2.960
1,550,2.359,2.539,2.364,2.960
1,600,2.400,2.539,2.415,2.960
1,650,2.436,2.574,2.443,2.960
1,700,2.481,2.612,2.451,2.960
1,750,2.493,2.670,2.493,2.970
1,800,2.506,2.670,2.464,2.970
1,850,2.492,2.695,2.492,2.970
1,900,2.539,2.695,2.520,2.970
1,950,2.555,2.695,2.546,2.970
1,1000,2.566,2.695,2.558,2.970
1,1050,2.568,2.747,2.532,2.970
1,1100,2.584,2.747,2.596,2.960
1,1150,2.585,2.783,2.570,2.960
1,1200,2.590,2.783,2.595,2.970
1,1250,2.619,2.783,2.640,2.970
1,1300,2.666,2.855,2.667,2.970
1,1350,2.683,2.855,2.655,2.970
1,1400,2.672,2.855,2.672,2.970
1,1450,2.677,2.855,2.687,2.970
1,1500,2.699,2.875,2.718,2.970
1,1550,2.745,2.918,2.727,2.970
1,1600,2.720,2.918,2.694,2.970
1,1650,2.722,2.918,2.734,2.970
1,1700,2.720,2.918,2.716,2.970
1,1750,2.725,2.918,2.736,2.970
1,1800,2.736,2.918,2.733,2.970
1,1850,2.739,2.918,2.736,2.970
1,1900,2.728,2.926,2.741,2.970
1,1950,2.785,2.926,2.775,2.970
1,2000,2.796,2.926,2.793,2.970
1,2050,2.781,2.926,2.765,2.970
1,2100,2.790,2.926,2.764,2.970
1,2150,2.785,2.926,2.777,2.970
1,2200,2.726,2.926,2.759,2.970
1,2250,2.783,2.926,2.783,2.970
1,2300,2.756,2.926,2.755,2.970
1,2350,2.755,2.926,2.769,2.970
1,2400,2.751,2.926,2.775,2.970
1,2450,2.772,2.926,2.778,2.970
1,2500,2.765,2.926,2.744,2.970
1,2550,2.762,2.926,2.733,2.970
1,2600,2.714,2.926,2.687,2.970
1,2650,2.705,2.926,2.716,2.970
1,2700,2.686,2.926,2.712,2.970
1,2750,2.726,2.926,2.728,2.970
1,2800,2.714,2.926,2.733,2.970
1,2850,2.748,2.937,2.740,2.970
1,2900,2.737,2.937,2.708,2.970
1,2950,2.725,2.937,2.731,2.970
1,3000,2.738,2.947,2.694,2.970
1,3050,2.692,2.947,2.697,2.970
1,3100,2.694,2.947,2.667,2.970
1,3150,2.690,2.947,2.701,2.970
1,3200,2.716,2.947,2.713,2.970
1,3250,2.733,2.947,2.731,2.970
1,3300,2.722,2.947,2.698,2.970
1,3350,2.679,2.947,2.701,2.970
1,3400,2.701,2.947,2.647,2.970
1,3450,2.685,2.947,2.692,2.970
1,3500,2.698,2.947,2.699,2.970
1,3550,2.686,2.947,2.686,2.970
1,3600,2.686,2.947,2.697,2.970
1,3650,2.697,2.947,2.657,2.970
1,3700,2.642,2.947,2.613,2.970
