	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/default.txt
	mu                 = 100
	mutation           = 0.05
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 30
	seed               = 2905565739
	seedType           = 1
	solutionfile       = ./sln/default.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
150	-1.115	0.848
200	-0.138	2.074
250	0.538	2.075
300	1.344	2.141
350	1.637	2.464
400	2.121	2.464
450	2.198	2.464
500	2.235	2.464
550	2.305	2.499
600	2.317	2.499
650	2.382	2.533
700	2.426	2.564
750	2.435	2.564
800	2.471	2.585
850	2.494	2.683
900	2.520	2.683
950	2.558	2.764
1000	2.574	2.764
1050	2.611	2.788
1100	2.606	2.788
1150	2.606	2.825
1200	2.621	2.825
1250	2.598	2.825
1300	2.576	2.825
1350	2.622	2.834
1400	2.627	2.881
1450	2.635	2.881
1500	2.654	2.881
1550	2.674	2.881
1600	2.645	2.881
1650	2.679	2.881
1700	2.633	2.881
1750	2.655	2.881
1800	2.640	2.881
1850	2.669	2.881
1900	2.682	2.881
1950	2.710	2.895
2000	2.700	2.895
2050	2.696	2.895
2100	2.674	2.895
2150	2.667	2.895
2200	2.678	2.895
2250	2.661	2.895
2300	2.674	2.895
2350	2.680	2.895
2400	2.678	2.895
2450	2.660	2.895
2500	2.652	2.895
2550	2.607	2.895
2600	2.624	2.895
2650	2.600	2.895
2700	2.616	2.895
2750	2.603	2.895
2800	2.642	2.899
2850	2.638	2.899
2900	2.654	2.899
2950	2.686	2.899
3000	2.671	2.899
3050	2.717	2.906
3100	2.749	2.906
3150	2.716	2.930
3200	2.718	2.930
3250	2.728	2.930
3300	2.755	2.933
3350	2.792	2.933
3400	2.788	2.935
3450	2.781	2.935
3500	2.777	2.935
3550	2.806	2.935
3600	2.765	2.935
3650	2.767	2.946
3700	2.772	2.946
3750	2.776	2.946
3800	2.767	2.946
3850	2.756	2.946
3900	2.733	2.946
3950	2.769	2.946
4000	2.773	2.946
4050	2.770	2.959
4100	2.752	2.959
4150	2.743	2.959
4200	2.752	2.959
4250	2.745	2.959
4300	2.723	2.959
4350	2.729	2.959
4400	2.745	2.959
4450	2.765	2.959
4500	2.746	2.959
4550	2.753	2.959
4600	2.747	2.959
4650	2.757	2.959
4700	2.771	2.959
4750	2.739	2.959
4800	2.750	2.959
4850	2.755	2.959
4900	2.760	2.959
4950	2.776	2.959
5000	2.733	2.959
5050	2.738	2.959
5100	2.724	2.959
5150	2.730	2.959
5200	2.760	2.959
5250	2.715	2.959
5300	2.720	2.959
5350	2.693	2.959
5400	2.673	2.959
5450	2.689	2.959
5500	2.683	2.959
5550	2.637	2.959
5600	2.671	2.959
5650	2.684	2.959
5700	2.692	2.959
5750	2.643	2.959
5800	2.650	2.959
5850	2.647	2.959
5900	2.622	2.959
5950	2.597	2.959
6000	2.621	2.959
6050	2.614	2.959
6100	2.650	2.959
6150	2.657	2.959
6200	2.651	2.959
6250	2.612	2.959
6300	2.609	2.959
6350	2.610	2.959
6400	2.634	2.959
6450	2.623	2.959
6500	2.670	2.959
6550	2.717	2.959
6600	2.713	2.959
6650	2.725	2.959
6700	2.763	2.959
6750	2.713	2.959
6800	2.685	2.959
6850	2.718	2.959
6900	2.727	2.959
6950	2.725	2.959
7000	2.718	2.959
7050	2.753	2.959
7100	2.735	2.959
7150	2.701	2.959
7200	2.708	2.959
7250	2.720	2.959
7300	2.742	2.959
7350	2.732	2.959
7400	2.695	2.959
7450	2.726	2.959
7500	2.692	2.959
7550	2.710	2.959
7600	2.746	2.959
7650	2.725	2.959
7700	2.719	2.959
7750	2.715	2.959
7800	2.690	2.959
7850	2.681	2.959
7900	2.738	2.959
7950	2.761	2.959
8000	2.743	2.959
8050	2.740	2.959
8100	2.815	2.959
8150	2.834	2.959
8200	2.807	2.959
8250	2.785	2.959
8300	2.776	2.959
8350	2.811	2.959
8400	2.809	2.959
8450	2.770	2.959
8500	2.706	2.959
8550	2.697	2.959
8600	2.683	2.959
8650	2.669	2.959
8700	2.701	2.959
8750	2.699	2.959
8800	2.657	2.959
8850	2.653	2.959
8900	2.668	2.959
8950	2.655	2.959
9000	2.660	2.959
9050	2.655	2.959
9100	2.671	2.959
9150	2.702	2.959
9200	2.691	2.959
9250	2.665	2.959
9300	2.681	2.959
9350	2.712	2.959
9400	2.713	2.959
9450	2.731	2.959
9500	2.732	2.959
9550	2.725	2.959
9600	2.751	2.959
9650	2.726	2.959
9700	2.745	2.964
9750	2.738	2.964
9800	2.725	2.964
9850	2.706	2.964
9900	2.743	2.964
9950	2.728	2.964
10000	2.721	2.964

Absolute Fitness
2.970

Run 2
150	0.107	1.613
200	0.784	2.131
250	1.429	2.329
300	1.784	2.392
350	2.118	2.399
400	2.262	2.473
450	2.324	2.508
500	2.401	2.570
550	2.377	2.570
600	2.409	2.570
650	2.460	2.654
