Run,Evals,Average Composite Fitness,Best Composite Fitness,Average Absolute Fitness, Best Absolute Fitness
1,150,-1.359,0.870,-1.166,2.970
1,200,-0.550,1.574,-0.436,2.960
1,250,0.471,2.291,0.467,2.960
1,300,1.168,2.291,1.282,2.960
1,350,1.614,2.296,1.631,2.960
1,400,1.888,2.444,2.007,2.930
1,450,2.130,2.444,2.100,2.930
1,500,2.248,2.444,2.277,2.900
1,550,2.365,2.539,2.348,2.970
1,600,2.358,2.539,2.376,2.970
1,650,2.370,2.555,2.338,2.970
1,700,2.378,2.555,2.356,2.970
1,750,2.346,2.555,2.342,2.970
1,800,2.370,2.555,2.364,2.970
1,850,2.398,2.555,2.417,2.970
1,900,2.451,2.579,2.469,2.970
1,950,2.497,2.627,2.517,2.990
1,1000,2.508,2.686,2.495,2.990
1,1050,2.478,2.686,2.507,2.990
1,1100,2.507,2.725,2.500,2.970
1,1150,2.497,2.725,2.478,2.970
1,1200,2.495,2.725,2.508,2.970
1,1250,2.504,2.725,2.496,2.970
1,1300,2.501,2.725,2.522,2.970
1,1350,2.502,2.725,2.513,2.970
1,1400,2.530,2.725,2.539,2.970
1,1450,2.527,2.725,2.498,2.970
1,1500,2.473,2.725,2.474,2.970
1,1550,2.469,2.725,2.469,2.970
1,1600,2.492,2.725,2.485,2.970
1,1650,2.519,2.725,2.521,2.970
1,1700,2.533,2.725,2.545,2.970
1,1750,2.553,2.725,2.537,2.970
1,1800,2.565,2.725,2.572,2.970
1,1850,2.550,2.725,2.560,2.970
1,1900,2.587,2.793,2.579,2.970
1,1950,2.593,2.793,2.580,2.970
1,2000,2.578,2.806,2.584,2.970
1,2050,2.604,2.820,2.588,2.970
1,2100,2.608,2.820,2.623,2.970
1,2150,2.635,2.820,2.650,2.970
1,2200,2.624,2.820,2.634,2.970
1,2250,2.611,2.834,2.654,2.970
1,2300,2.648,2.834,2.626,2.970
1,2350,2.614,2.890,2.609,2.970
1,2400,2.597,2.890,2.589,2.970
1,2450,2.591,2.890,2.565,2.970
1,2500,2.568,2.890,2.566,2.970
1,2550,2.584,2.890,2.561,2.970
