	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/high_mut.txt
	mu                 = 100
	mutation           = 0.8
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 3
	seed               = 940612102
	seedType           = 1
	solutionfile       = ./sln/high_mut.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
150	0.186	1.771
200	0.870	2.041
250	1.235	2.219
300	1.675	2.285
350	1.923	2.358
400	2.140	2.363
450	2.240	2.409
500	2.282	2.449
550	2.319	2.485
600	2.345	2.490
650	2.364	2.518
700	2.376	2.531
750	2.368	2.606
800	2.396	2.610
850	2.391	2.610
900	2.434	2.610
950	2.428	2.711
1000	2.453	2.711
1050	2.500	2.720
1100	2.521	2.720
1150	2.567	2.748
1200	2.563	2.748
1250	2.532	2.748
1300	2.542	2.762
1350	2.517	2.770
1400	2.520	2.770
1450	2.482	2.770
1500	2.469	2.770
1550	2.454	2.770
1600	2.499	2.770
1650	2.468	2.770
1700	2.458	2.770
1750	2.470	2.770
1800	2.469	2.770
1850	2.456	2.770
1900	2.462	2.770
1950	2.440	2.770
2000	2.458	2.770
2050	2.470	2.770
2100	2.502	2.770
2150	2.489	2.770
2200	2.438	2.770
2250	2.444	2.770
2300	2.443	2.770
2350	2.443	2.770
2400	2.400	2.770
2450	2.395	2.770
2500	2.441	2.770
2550	2.433	2.770
2600	2.422	2.770
2650	2.418	2.770
2700	2.424	2.770
2750	2.401	2.770
2800	2.397	2.770
2850	2.385	2.770
2900	2.433	2.770
2950	2.445	2.770
3000	2.444	2.770
3050	2.415	2.770
3100	2.405	2.770
3150	2.402	2.770
3200	2.395	2.770
3250	2.396	2.770
3300	2.423	2.770
3350	2.415	2.770
3400	2.423	2.770
3450	2.425	2.770
3500	2.440	2.770
3550	2.464	2.770
3600	2.481	2.770
3650	2.481	2.770
3700	2.489	2.770
3750	2.477	2.770
3800	2.472	2.770
3850	2.472	2.770
3900	2.463	2.770
3950	2.453	2.770
4000	2.465	2.770
4050	2.422	2.770
4100	2.466	2.770
4150	2.440	2.770
4200	2.438	2.770
4250	2.448	2.770
4300	2.468	2.770
4350	2.448	2.770
4400	2.474	2.770
4450	2.484	2.770
4500	2.477	2.770
4550	2.482	2.770
4600	2.519	2.770
4650	2.488	2.770
4700	2.510	2.770
4750	2.509	2.773
4800	2.506	2.793
4850	2.520	2.793
4900	2.500	2.793
4950	2.527	2.793
5000	2.543	2.793
5050	2.518	2.793
5100	2.503	2.793
5150	2.500	2.793
5200	2.518	2.793
5250	2.524	2.793
5300	2.507	2.793
5350	2.512	2.793
5400	2.533	2.793
5450	2.539	2.793
5500	2.511	2.793
5550	2.483	2.793
5600	2.478	2.793
5650	2.493	2.793
5700	2.494	2.793
5750	2.493	2.793
5800	2.491	2.793
5850	2.496	2.793
5900	2.483	2.793
5950	2.492	2.793
6000	2.488	2.793
6050	2.504	2.793
6100	2.495	2.793
6150	2.521	2.793
6200	2.539	2.793
6250	2.524	2.793
6300	2.481	2.793
6350	2.510	2.793
6400	2.498	2.793
6450	2.528	2.793
6500	2.511	2.793
6550	2.474	2.793
6600	2.432	2.793
6650	2.421	2.793
6700	2.460	2.793
6750	2.450	2.793
6800	2.465	2.793
6850	2.442	2.793
6900	2.451	2.793
6950	2.439	2.793
7000	2.438	2.793
7050	2.470	2.793
7100	2.479	2.793
7150	2.491	2.793
7200	2.514	2.793
7250	2.510	2.793
7300	2.508	2.793
7350	2.523	2.793
7400	2.496	2.793
7450	2.499	2.793
7500	2.511	2.793
7550	2.513	2.793
7600	2.474	2.793
7650	2.543	2.793
7700	2.497	2.793
7750	2.491	2.793
7800	2.504	2.793
7850	2.493	2.793
7900	2.497	2.793
7950	2.486	2.793
8000	2.469	2.793
8050	2.457	2.793
8100	2.465	2.793
8150	2.487	2.793
8200	2.467	2.793
8250	2.461	2.793
8300	2.474	2.793
8350	2.479	2.793
8400	2.468	2.793
8450	2.474	2.793
8500	2.481	2.793
8550	2.479	2.793
8600	2.481	2.793
8650	2.470	2.793
8700	2.462	2.793
8750	2.476	2.793
8800	2.510	2.793
8850	2.511	2.793
8900	2.516	2.793
8950	2.505	2.793
9000	2.527	2.793
9050	2.501	2.793
9100	2.512	2.793
9150	2.507	2.793
9200	2.509	2.793
9250	2.503	2.793
9300	2.501	2.793
9350	2.516	2.793
9400	2.537	2.793
9450	2.546	2.793
9500	2.580	2.835
9550	2.539	2.835
9600	2.494	2.835
9650	2.476	2.835
9700	2.472	2.835
9750	2.495	2.835
9800	2.489	2.835
9850	2.460	2.835
9900	2.486	2.835
9950	2.542	2.835
10000	2.545	2.835

Absolute Fitness
2.970

Run 2
150	-0.419	1.207
200	0.859	2.322
250	1.466	2.378
300	1.785	2.378
350	2.137	2.592
400	2.328	2.620
450	2.354	2.620
500	2.365	2.620
550	2.408	2.620
600	2.453	2.642
650	2.457	2.642
