Run,Population Member,Composite Fitness, Absolute Fitness
1,0,2.46364,2.97
1,1,2.48364,2.97
1,2,2.55818,2.67
1,3,2.49455,2.97
1,4,2.63,2.66
1,5,2.52636,2.97
1,6,2.50909,2.97
1,7,2.63364,2.97
1,8,2.57273,2.87
1,9,2.46818,2.25
1,10,2.46364,2.49
1,11,2.61455,2.49
1,12,2.47364,2.67
1,13,2.66091,2.97
1,14,2.51636,2.69
1,15,2.55818,2.97
1,16,2.58364,2.49
1,17,2.72,2.97
1,18,2.54,2.24
1,19,2.53182,2.39
1,20,2.46364,2.88
1,21,2.65818,2.59
1,22,2.53545,2.47
1,23,2.49364,2.31
1,24,2.62,2.27
1,25,2.54364,2.28
1,26,2.50636,2.54
1,27,2.54364,2.39
1,28,2.46273,2.45
1,29,2.49636,2.24
1,30,2.64091,2.97
1,31,2.60818,2.97
1,32,2.58364,2.39
1,33,2.62727,2.97
1,34,2.61091,2.97
1,35,2.58,2.97
1,36,2.58364,2.57
1,37,2.45818,2.72
1,38,2.66636,2.24
1,39,2.52545,2.97
1,40,2.60727,2.32
1,41,2.47727,2.33
1,42,2.60545,2.29
1,43,2.66455,2.49
1,44,2.49545,2.97
1,45,2.48545,2.73
1,46,2.50636,2.49
1,47,2.59545,2.18
1,48,2.67273,2.47
1,49,2.46636,2.26
1,50,2.45818,2.37
1,51,2.56091,2.55
1,52,2.50182,2.49
1,53,2.49818,2.67
1,54,2.56545,2.97
1,55,2.48727,2.32
1,56,2.49364,2.87
1,57,2.53273,2.97
1,58,2.53727,2.32
1,59,2.49273,2.43
1,60,2.54636,2.47
1,61,2.57455,2.49
1,62,2.51182,2.24
1,63,2.54727,2.27
1,64,2.46818,2.24
1,65,2.54273,2.49
1,66,2.53636,2.11
1,67,2.49455,2.97
1,68,2.60091,2.24
1,69,2.49818,2.27
1,70,2.58091,2.32
1,71,2.54818,2.68
1,72,2.49182,2.49
1,73,2.62636,2.87
1,74,2.47091,2.15
1,75,2.63364,2.69
1,76,2.55455,2.2
1,77,2.46636,2.29
1,78,2.54455,2.93
1,79,2.57273,2.77
1,80,2.61909,2.33
1,81,2.58636,2.49
1,82,2.50909,2.21
1,83,2.47182,1.96
1,84,2.51364,2.24
1,85,2.49,2.19
1,86,2.54818,2.29
1,87,2.46455,2.4
1,88,2.47273,2.65
1,89,2.68182,2.16
1,90,2.48636,2.27
1,91,2.53,2.59
1,92,2.45727,2.31
1,93,2.51273,2.77
1,94,2.58545,2.49
1,95,2.51273,2.49
1,96,2.60545,2.24
1,97,2.56818,2.68
1,98,2.55,2.57
1,99,2.64818,2.49
2,0,2.51273,2.86
2,1,2.49364,2.97
2,2,2.67091,2.49
2,3,2.56818,2.33
2,4,2.74636,2.97
2,5,2.53091,2.57
2,6,2.55545,2.23
2,7,2.48455,2.57
2,8,2.65818,2.89
2,9,2.48545,2.23
2,10,2.53727,2.97
2,11,2.61727,2.97
2,12,2.53727,2.64
2,13,2.49,2.23
2,14,2.74636,2.97
2,15,2.49727,2.22
2,16,2.50182,1.89
2,17,2.46727,2.49
2,18,2.72818,2.97
2,19,2.55727,2.49
2,20,2.51455,2.33
2,21,2.46182,2.16
2,22,2.71273,2.87
2,23,2.55091,2.77
2,24,2.59364,2.17
2,25,2.60727,2.97
2,26,2.57545,2.97
2,27,2.43364,2.49
2,28,2.64455,2.77
2,29,2.61273,2.87
2,30,2.53364,2.19
2,31,2.74455,2.97
2,32,2.64818,2.43
2,33,2.49,1.99
2,34,2.56364,2.92
2,35,2.51182,2.53
2,36,2.58455,2.77
2,37,2.50636,2.97
2,38,2.51364,2.24
2,39,2.49545,2.39
2,40,2.57,2.97
2,41,2.58455,2.97
2,42,2.54545,2.27
2,43,2.47,2.31
2,44,2.51273,2.24
2,45,2.59909,2.97
2,46,2.59455,2.97
2,47,2.59455,2.59
2,48,2.49455,2.22
2,49,2.53545,2.82
2,50,2.47182,2.72
2,51,2.53273,2.87
2,52,2.60636,2.26
2,53,2.61182,2.97
2,54,2.48727,2.97
2,55,2.56909,2.79
2,56,2.54727,2.33
2,57,2.49455,2.24
2,58,2.48818,2.3
2,59,2.44909,2.44
2,60,2.51818,2.67
2,61,2.47182,2.24
2,62,2.54727,2.18
2,63,2.52455,2.37
2,64,2.47182,2.87
2,65,2.46545,2.23
2,66,2.46182,1.97
2,67,2.50273,2.24
2,68,2.64455,2.97
2,69,2.64545,2.29
2,70,2.50818,2.97
2,71,2.66273,2.97
2,72,2.58,1.84
2,73,2.51636,2.38
2,74,2.49818,2.49
2,75,2.55545,2.77
2,76,2.53,2.67
2,77,2.52273,2.55
2,78,2.67818,2.58
2,79,2.45182,2.2
2,80,2.46,2.09
2,81,2.53909,2.97
2,82,2.58727,2.25
2,83,2.55455,2.34
2,84,2.55091,2.31
2,85,2.54818,2.94
2,86,2.56727,2.69
2,87,2.43909,2.97
2,88,2.55182,2.27
2,89,2.45636,2.57
2,90,2.67091,2.39
2,91,2.46909,2.49
2,92,2.57364,2.21
2,93,2.49273,2.18
2,94,2.49364,1.7
2,95,2.52364,2.25
2,96,2.47364,0.97
2,97,2.58455,2.53
2,98,2.47182,2.21
2,99,2.57727,2.24
3,0,2.55636,2.97
3,1,2.52273,2.63
3,2,2.44182,2.28
3,3,2.5,2.23
3,4,2.50909,2.77
3,5,2.50636,2.59
3,6,2.42091,2.72
3,7,2.49909,2.25
3,8,2.57,2.97
3,9,2.42727,2.55
3,10,2.50455,2.97
3,11,2.54727,2.39
3,12,2.56545,2.4
3,13,2.47727,2.38
3,14,2.45636,2.97
3,15,2.54,2.24
3,16,2.46091,2.24
3,17,2.56545,2.34
3,18,2.52818,2.49
3,19,2.41455,2.23
3,20,2.44273,2.72
3,21,2.47364,2.97
3,22,2.51455,2.49
3,23,2.44818,2.18
3,24,2.41909,2.97
3,25,2.44273,2.97
3,26,2.50364,2.51
3,27,2.47636,2.97
3,28,2.53909,2.96
3,29,2.60182,2.73
3,30,2.49455,2.11
3,31,2.46455,2.21
3,32,2.44273,2.49
3,33,2.49273,2.19
3,34,2.58,2.97
3,35,2.62727,2.56
3,36,2.47727,2.47
3,37,2.65,2.4
3,38,2.42727,2.68
3,39,2.55273,2.61
3,40,2.52,2.97
3,41,2.52636,2.27
3,42,2.58,2.46
3,43,2.58091,2.37
3,44,2.50364,2.29
3,45,2.57636,2.97
3,46,2.46545,2.49
3,47,2.51818,2.24
3,48,2.43545,2.49
3,49,2.47455,2.87
3,50,2.48364,2.49
3,51,2.41545,2.52
3,52,2.42909,2.97
3,53,2.56273,2.69
3,54,2.51636,2.43
3,55,2.49545,2.29
3,56,2.51364,2.87
3,57,2.47364,2.57
3,58,2.53545,2.24
3,59,2.57636,2.39
3,60,2.56818,2.59
3,61,2.46364,2.49
3,62,2.55909,2.97
3,63,2.54545,2.97
3,64,2.49545,2.97
3,65,2.64273,2.87
3,66,2.44636,2.24
3,67,2.49818,2.24
3,68,2.52545,2.51
3,69,2.54364,2.43
3,70,2.57364,2.49
3,71,2.56364,2.79
3,72,2.58909,2.18
