Run,Evals,Average Composite Fitness,Best Composite Fitness,Average Absolute Fitness, Best Absolute Fitness
1,150,-0.826,1.205,-0.686,2.970
1,200,-0.369,1.205,-0.354,2.970
1,250,0.320,2.240,0.496,2.970
1,300,1.095,2.252,0.994,2.930
1,350,1.578,2.269,1.441,2.700
1,400,1.827,2.305,1.767,2.970
1,450,2.044,2.305,2.003,2.970
1,500,2.151,2.382,2.137,2.700
1,550,2.220,2.382,2.227,2.580
1,600,2.279,2.387,2.300,2.970
1,650,2.341,2.465,2.347,2.970
1,700,2.361,2.471,2.356,2.970
1,750,2.349,2.471,2.352,2.970
1,800,2.398,2.518,2.406,2.970
1,850,2.414,2.619,2.402,2.940
1,900,2.417,2.619,2.386,2.940
1,950,2.429,2.619,2.432,2.940
1,1000,2.453,2.619,2.435,2.930
1,1050,2.467,2.655,2.469,2.930
1,1100,2.500,2.751,2.503,2.910
1,1150,2.532,2.751,2.514,2.910
1,1200,2.562,2.772,2.560,2.970
1,1250,2.589,2.781,2.601,2.970
1,1300,2.644,2.828,2.645,2.970
1,1350,2.649,2.828,2.653,2.970
1,1400,2.667,2.851,2.670,2.970
1,1450,2.661,2.855,2.682,2.970
1,1500,2.695,2.855,2.688,2.970
1,1550,2.715,2.883,2.694,2.970
1,1600,2.710,2.897,2.673,2.970
1,1650,2.701,2.897,2.730,2.970
1,1700,2.739,2.897,2.758,2.970
1,1750,2.796,2.933,2.795,2.970
1,1800,2.821,2.933,2.817,2.970
1,1850,2.824,2.933,2.810,2.970
1,1900,2.841,2.933,2.847,2.970
1,1950,2.828,2.936,2.821,2.970
1,2000,2.813,2.936,2.815,2.970
1,2050,2.804,2.936,2.802,2.970
1,2100,2.813,2.936,2.805,2.970
1,2150,2.796,2.944,2.801,2.970
1,2200,2.753,2.944,2.786,2.970
1,2250,2.776,2.944,2.776,2.970
1,2300,2.770,2.944,2.750,2.970
1,2350,2.755,2.944,2.735,2.970
1,2400,2.721,2.944,2.740,2.970
1,2450,2.732,2.944,2.761,2.970
1,2500,2.744,2.945,2.739,2.970
1,2550,2.720,2.945,2.706,2.970
1,2600,2.723,2.945,2.690,2.970
1,2650,2.712,2.945,2.692,2.970
1,2700,2.700,2.945,2.717,2.970
1,2750,2.724,2.945,2.721,2.970
1,2800,2.750,2.945,2.739,2.970
1,2850,2.689,2.945,2.691,2.970
1,2900,2.695,2.945,2.716,2.970
1,2950,2.722,2.945,2.722,2.970
1,3000,2.693,2.945,2.715,2.970
1,3050,2.695,2.945,2.689,2.970
1,3100,2.721,2.945,2.754,2.970
1,3150,2.723,2.945,2.738,2.970
1,3200,2.734,2.945,2.703,2.970
1,3250,2.677,2.945,2.720,2.970
1,3300,2.718,2.945,2.698,2.970
1,3350,2.698,2.945,2.692,2.970
1,3400,2.700,2.945,2.659,2.970
1,3450,2.701,2.945,2.708,2.970
1,3500,2.724,2.946,2.706,2.970
1,3550,2.694,2.946,2.680,2.970
1,3600,2.654,2.946,2.647,2.970
1,3650,2.646,2.946,2.612,2.970
1,3700,2.632,2.946,2.637,2.970
1,3750,2.667,2.946,2.640,2.970
1,3800,2.614,2.946,2.615,2.970
1,3850,2.615,2.946,2.628,2.970
1,3900,2.615,2.946,2.595,2.970
1,3950,2.598,2.946,2.585,2.970
1,4000,2.614,2.946,2.606,2.970
1,4050,2.601,2.946,2.604,2.970
1,4100,2.595,2.946,2.579,2.970
1,4150,2.608,2.946,2.616,2.970
1,4200,2.612,2.946,2.578,2.970
1,4250,2.582,2.946,2.626,2.970
1,4300,2.624,2.946,2.620,2.970
1,4350,2.619,2.946,2.603,2.970
1,4400,2.618,2.946,2.589,2.970
1,4450,2.586,2.946,2.608,2.970
1,4500,2.642,2.946,2.661,2.970
1,4550,2.648,2.946,2.645,2.970
1,4600,2.669,2.946,2.660,2.970
1,4650,2.645,2.946,2.678,2.970
1,4700,2.674,2.946,2.674,2.970
1,4750,2.679,2.946,2.649,2.970
1,4800,2.662,2.946,2.639,2.970
1,4850,2.626,2.946,2.657,2.970
1,4900,2.667,2.946,2.669,2.970
1,4950,2.697,2.946,2.683,2.970
1,5000,2.668,2.946,2.672,2.970
1,5050,2.682,2.946,2.656,2.970
1,5100,2.667,2.946,2.664,2.970
1,5150,2.689,2.946,2.669,2.970
1,5200,2.657,2.946,2.689,2.970
1,5250,2.678,2.946,2.716,2.970
1,5300,2.699,2.946,2.701,2.970
1,5350,2.709,2.946,2.699,2.970
1,5400,2.698,2.946,2.704,2.970
1,5450,2.717,2.946,2.704,2.970
1,5500,2.665,2.946,2.683,2.970
1,5550,2.688,2.964,2.652,2.970
1,5600,2.645,2.964,2.636,2.970
1,5650,2.639,2.964,2.636,2.970
1,5700,2.683,2.964,2.658,2.970
1,5750,2.639,2.964,2.646,2.970
1,5800,2.668,2.964,2.695,2.970
1,5850,2.708,2.964,2.693,2.970
