	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/no_mut.txt
	mu                 = 100
	mutation           = 0
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 3
	seed               = 773228846
	seedType           = 1
	solutionfile       = ./sln/no_mut.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
150	-0.098	1.575
200	0.417	2.205
250	0.957	2.205
300	1.336	2.235
350	1.772	2.345
400	1.992	2.487
450	2.270	2.493
500	2.358	2.584
550	2.411	2.584
600	2.448	2.591
650	2.505	2.632
700	2.465	2.697
750	2.469	2.697
800	2.503	2.697
850	2.538	2.700
900	2.571	2.742
950	2.592	2.791
1000	2.637	2.809
1050	2.619	2.815
1100	2.637	2.833
1150	2.642	2.866
1200	2.663	2.875
1250	2.663	2.878
1300	2.645	2.878
1350	2.666	2.913
1400	2.694	2.913
1450	2.704	2.913
1500	2.745	2.913
1550	2.714	2.913
1600	2.725	2.933
1650	2.709	2.933
1700	2.699	2.933
1750	2.666	2.933
1800	2.684	2.933
1850	2.641	2.933
1900	2.659	2.933
1950	2.678	2.933
2000	2.705	2.933
2050	2.677	2.933
2100	2.650	2.933
2150	2.644	2.933
2200	2.641	2.933
2250	2.679	2.933
2300	2.674	2.933
2350	2.656	2.933
2400	2.651	2.933
2450	2.685	2.933
2500	2.708	2.933
2550	2.662	2.933
2600	2.672	2.933
2650	2.638	2.933
2700	2.658	2.933
2750	2.664	2.933
2800	2.662	2.933
2850	2.631	2.933
2900	2.670	2.933
2950	2.636	2.933
3000	2.636	2.933
3050	2.636	2.933
3100	2.617	2.933
3150	2.640	2.933
3200	2.595	2.933
3250	2.572	2.933
3300	2.609	2.933
3350	2.577	2.933
3400	2.586	2.933
3450	2.569	2.933
3500	2.543	2.933
3550	2.505	2.933
3600	2.566	2.933
3650	2.582	2.933
3700	2.557	2.933
3750	2.561	2.933
3800	2.602	2.933
3850	2.569	2.933
3900	2.626	2.933
3950	2.612	2.933
4000	2.579	2.933
4050	2.577	2.933
4100	2.589	2.933
4150	2.580	2.933
4200	2.592	2.933
4250	2.594	2.933
4300	2.557	2.933
4350	2.571	2.933
4400	2.615	2.933
4450	2.611	2.933
4500	2.621	2.933
4550	2.619	2.933
4600	2.630	2.933
4650	2.613	2.933
4700	2.633	2.933
4750	2.631	2.933
4800	2.653	2.933
4850	2.626	2.933
4900	2.636	2.933
4950	2.635	2.933
5000	2.658	2.933
5050	2.603	2.933
5100	2.602	2.933
5150	2.598	2.933
5200	2.611	2.933
5250	2.636	2.933
5300	2.603	2.933
5350	2.590	2.933
5400	2.614	2.933
5450	2.644	2.933
5500	2.655	2.933
5550	2.688	2.933
5600	2.664	2.933
5650	2.670	2.933
5700	2.684	2.933
5750	2.623	2.933
5800	2.629	2.933
5850	2.658	2.933
5900	2.679	2.933
5950	2.689	2.933
6000	2.675	2.933
6050	2.664	2.933
6100	2.670	2.933
6150	2.691	2.933
6200	2.710	2.933
6250	2.634	2.933
6300	2.673	2.933
6350	2.661	2.933
6400	2.637	2.933
6450	2.636	2.933
6500	2.609	2.933
6550	2.572	2.933
6600	2.563	2.933
6650	2.563	2.933
6700	2.575	2.933
6750	2.613	2.933
6800	2.595	2.933
6850	2.592	2.933
6900	2.633	2.933
6950	2.615	2.933
7000	2.599	2.933
7050	2.602	2.933
7100	2.625	2.933
7150	2.622	2.933
7200	2.591	2.933
7250	2.602	2.933
7300	2.615	2.933
7350	2.626	2.933
7400	2.592	2.933
7450	2.691	2.933
7500	2.667	2.933
7550	2.648	2.933
7600	2.625	2.933
7650	2.628	2.933
7700	2.664	2.933
7750	2.650	2.933
7800	2.652	2.933
7850	2.648	2.933
7900	2.634	2.933
7950	2.670	2.933
8000	2.617	2.933
8050	2.596	2.933
8100	2.607	2.933
8150	2.585	2.933
8200	2.574	2.933
8250	2.568	2.933
8300	2.554	2.933
8350	2.574	2.933
8400	2.586	2.933
8450	2.576	2.933
8500	2.595	2.933
8550	2.674	2.933
8600	2.640	2.933
8650	2.625	2.933
8700	2.647	2.933
8750	2.621	2.933
8800	2.639	2.933
8850	2.650	2.933
8900	2.648	2.933
8950	2.660	2.933
9000	2.658	2.933
9050	2.657	2.933
9100	2.645	2.933
9150	2.647	2.933
9200	2.670	2.933
9250	2.667	2.933
9300	2.599	2.933
9350	2.655	2.933
9400	2.693	2.933
9450	2.638	2.933
9500	2.616	2.933
9550	2.636	2.933
9600	2.697	2.933
9650	2.686	2.933
9700	2.677	2.933
9750	2.664	2.933
9800	2.680	2.933
9850	2.673	2.933
9900	2.661	2.933
9950	2.672	2.933
10000	2.657	2.933

Absolute Fitness
2.970

Run 2
150	-0.230	1.705
200	0.785	2.192
250	1.440	2.235
300	1.738	2.291
350	1.974	2.360
400	2.039	2.391
450	2.185	2.440
500	2.278	2.515
550	2.316	2.515
600	2.340	2.515
650	2.371	2.532
