Run,Population Member,Composite Fitness, Absolute Fitness
1,0,2.72545,2.97
1,1,2.75545,2.97
1,2,2.63727,2.97
1,3,2.61182,2.87
1,4,2.59727,2.97
1,5,2.77818,2.97
1,6,2.63455,2.23
1,7,2.58818,2.76
1,8,2.62,2.26
1,9,2.57818,2.97
1,10,2.60182,2.97
1,11,2.57182,2.02
1,12,2.69091,2.59
1,13,2.58636,2.97
1,14,2.78727,2.69
1,15,2.71818,2.97
1,16,2.72636,2.53
1,17,2.74364,2.97
1,18,2.60182,2.59
1,19,2.59,2.97
1,20,2.57818,2.79
1,21,2.67545,2.97
1,22,2.66909,2.57
1,23,2.68909,2.27
1,24,2.68455,2.29
1,25,2.59636,2.22
1,26,2.64273,2.97
1,27,2.68909,2.97
1,28,2.59182,2.48
1,29,2.67273,2.57
1,30,2.63091,2.97
1,31,2.64636,2.36
1,32,2.6,2.29
1,33,2.74545,2.57
1,34,2.69182,2.97
1,35,2.7,2.97
1,36,2.71455,2.97
1,37,2.74455,2.87
1,38,2.72,2.67
1,39,2.65727,2.97
1,40,2.66909,2.97
1,41,2.71182,2.62
1,42,2.67545,2.39
1,43,2.79545,2.97
1,44,2.72273,2.97
1,45,2.61636,2.4
1,46,2.56091,2.97
1,47,2.72545,2.97
1,48,2.59455,2.45
1,49,2.69636,2.97
1,50,2.66364,2.54
1,51,2.59545,2.69
1,52,2.6,2.57
1,53,2.60636,2.97
1,54,2.69727,2.97
1,55,2.67,2.39
1,56,2.60455,2.59
1,57,2.60182,2.57
1,58,2.68727,2.97
1,59,2.63727,2.19
1,60,2.62,2.52
1,61,2.66727,2.97
1,62,2.70545,2.97
1,63,2.63909,2.67
1,64,2.72091,2.49
1,65,2.64909,2.67
1,66,2.59091,2.97
1,67,2.64,2.43
1,68,2.67818,2.97
1,69,2.58364,2.97
1,70,2.63727,2.97
1,71,2.63545,2.97
1,72,2.78818,2.57
1,73,2.59273,2.75
1,74,2.65636,2.97
1,75,2.60727,2.32
1,76,2.62636,2.26
